#   Sourced from U.S. Department of Energy (DOE), National Nuclear Security Administration, 
#    Nevada Field Office "United States Nuclear Tests July 1945 through September 1992" report (DOE/NV-209, 2016)
#   Edited and reformatted by Louisa Barama August 2021 (lbarama@gatech.edu)
#------------------------------------------------------------------------------------------------------------------#
Test  Detonation                          Date(GMT)   Sponsor       Location                   Hole          Type        Time(GMT)    Lat         Long          Surface_Elev(ft)  Height/Depth(ft)  Purpose                              Yield_Range(kt)  Test
958   Cottage                             03/23/1985  LLNL          NNSS                       U8j           Shaft       18:30:00.08  37.179926   -116.089828   4556              -1690             Weapons_Related                      20_to_150        958
92    Coulomb-A                           07/01/1957  LANL          NNSS                       Area_3        Surface     17:30:00.00  37.041200   -116.026880   4000              0                 Safety_Experiment                    Zero             92
108   Coulomb-B                           09/06/1957  LANL          NNSS                       S3g           Surface     20:05:00.00  37.042900   -116.027100   4035              3                 Safety_Experiment                    .300             108
117   Coulomb-C                           12/09/1957  LANL          NNSS                       S3i           Surface     20:00:00.00  37.048200   -116.025200   4050              0                 Safety_Experiment                    .500             117
821   Coulommiers                         09/27/1977  LLNL          NNSS                       U2ei          Shaft       14:00:00.16  37.151117   -116.068429   4327              -1740             Weapons_Related                      20_to_150        821
383   Courser                             09/25/1964  LANL/UK       NNSS                       U3do          Shaft       17:02:00.03  37.072423   -116.016258   4148              -1178             Joint_US-UK                          Zero             383
808   Cove                                02/16/1977  LANL          NNSS                       U3ki          Shaft       17:53:00.16  37.006589   -116.032235   3963              -1098             Weapons_Related                      Less_than_20     808
692   Cowles                              02/03/1972  LANL          NNSS                       U3hx          Shaft       21:45:00.04  37.001028   -116.020291   3955              -990              Weapons_Related                      Less_than_20     692
314   Coypu                               04/10/1963  LANL          NNSS                       U3af          Shaft       16:01:30.12  37.048763   -116.031182   4028              -245              Safety_Experiment                    Low              314
842   Cremino                             09/27/1978  LLNL          NNSS                       U8e           Shaft       16:30:00.17  37.170963   -116.088036   4488              -688              Weapons_Related                      Less_than_20     842
842   Cremino-Caerphilly                  09/27/1978  LLNL          NNSS                       U8e           Shaft       16:30:00.17  37.170963   -116.088036   4488              -1377             Weapons_Related                      Less_than_20     842
391   Crepe                               12/05/1964  LLNL          NNSS                       U2q           Shaft       21:15:00.10  37.114376   -116.054313   4195              -1326             Weapons_Related                      20_to_200        391
754   Crestlake-Briar                     07/18/1974  LLNL          NNSS                       U2dw          Shaft       14:00:01.20  37.119205   -116.086002   4269              -1226             Weapons_Related                      Less_than_20     754
754   Crestlake-Tansan                    07/18/1974  LLNL          NNSS                       U2dw          Shaft       14:00:01.20  37.119205   -116.086002   4269              -891              Weapons_Related                      Less_than_20     754
571   Crew                                11/04/1968  LLNL          NNSS                       U2db          Shaft       15:15:00.09  37.130426   -116.087381   4312              -1977             Weapons_Related                      20_to_200        571
572   Crew-2nd                            11/04/1968  LLNL          NNSS                       U2db          Shaft       15:16:00.09  37.130426   -116.087381   4312              -1177             Weapons_Related                      Less_than_20     572
572   Crew-3rd                            11/04/1968  LLNL          NNSS                       U2db          Shaft       15:16:00.09  37.130426   -116.087381   4312              -1177             Weapons_Related                      Less_than_20     572
812   Crewline                            05/25/1977  LANL          NNSS                       U7ap          Shaft       17:00:00.08  37.094280   -116.045731   4148              -1851             Weapons_Related                      20_to_150        812
546   Crock                               05/08/1968  LLNL          NNSS                       U10ak         Shaft       14:10:00.00  37.157276   -116.035786   4317              -596              Weapons_Related                      Less_than_20     546
923   Crowdie                             05/05/1983  LLNL          NNSS                       U2fe          Shaft       15:20:00.08  37.145593   -116.090089   4383              -1280             Weapons_Related                      Less_than_20     923
616   Cruet                               10/29/1969  LLNL          NNSS                       U2cn          Shaft       19:30:00.04  37.121466   -116.128621   4589              -865              Weapons_Related                      11               616
708   Cuchillo                            08/09/1972  LANL          NNSS                       U3jt          Shaft       13:31:10.04  37.003705   -116.019923   3957              -652              Weapons_Related                      Less_than_20     708
623   Culantro-A                          12/10/1969  LANL          NNSS                       U3hi-a        Shaft       15:00:00.04  37.014671   -116.003735   3964              -440              Weapons_Related                      Less_than_20     623
623   Culantro-B                          12/10/1969  LANL          NNSS                       U3hi-b        Shaft       15:00:00.04  37.014865   -116.002020   3967              -490              Weapons_Related                      Less_than_20     623
634   Cumarin                             02/25/1970  LANL          NNSS                       U3gz          Shaft       14:28:38.04  37.036627   -116.000460   4045              -1340             Weapons_Related                      20_to_200        634
315   Cumberland                          04/11/1963  LLNL          NNSS                       U2e           Shaft       16:03:00.16  37.156630   -116.071834   4352              -745              Weapons_Related                      Low              315
406   Cup                                 03/26/1965  LLNL          NNSS                       U9cb          Shaft       15:34:08.16  37.147554   -116.043762   4245              -1775             Weapons_Related                      20_to_200        406
636   Cyathus                             03/06/1970  LLNL          NNSS                       U8b           Shaft       14:24:00.94  37.173070   -116.092626   4527              -964              Weapons_Related                      8.7              636
982   Cybar                               07/17/1986  LANL          NNSS                       U19ar         Shaft       21:00:00.06  37.278620   -116.356493   6707              -2057             Weapons_Related                      119              982
456   Cyclamen                            05/05/1966  LANL          NNSS                       U3cx          Shaft       14:00:00.04  37.050572   -116.038720   4036              -1001             Weapons_Related                      12               456
589   Cypress                             02/12/1969  LLNL/SNL/DoD  NNSS                       U12g.09       Tunnel      16:18:20.88  37.169003   -116.211623   7519              -1350             Weapons_Effects                      Less_than_20     589
473   Daiquiri                            09/23/1966  LANL          NNSS                       U7o           Shaft       18:00:00.04  37.103299   -116.036570   4223              -1841             Weapons_Related                      Less_than_20     473
80    Dakota                              06/25/1956  LANL          Bikini_Atoll               UNKN          Barge       18:06:00.00  11.679000   165.391500    0                 10                Weapons_Related                      1100             80
1016  Dalhart                             10/13/1988  LANL          NNSS                       U4u           Shaft       14:00:00.08  37.088950   -116.050132   4120              -2099             Weapons_Related                      Less_than_150    1016
257   Daman_I                             06/21/1962  LANL          NNSS                       U3be          Shaft       17:00:00.13  37.043017   -116.031123   4016              -854              Weapons_Related                      Low              257
926   Danablu                             06/09/1983  LLNL          NNSS                       U2eu          Shaft       17:10:00.09  37.157569   -116.090101   4441              -1050             Weapons_Related                      Less_than_20     926
216   Danny_Boy                           03/05/1962  LLNL/DoD      NNSS                       U18a          Crater      18:15:00.12  37.111003   -116.365835   5384              -110              Weapons_Effects                      .430             216
981   Darwin                              06/25/1986  LLNL/UK       NNSS                       U20aq         Shaft       20:27:45.09  37.264530   -116.500200   6155              -1801             Joint_US-UK                          20_to_150        981
880   Dauphin                             11/14/1980  LLNL          NNSS                       U9cq          Shaft       16:50:00.08  37.111444   -116.019526   4372              -1050             Weapons_Related                      Less_than_20     880
186   De_Baca                             10/26/1958  LANL          NNSS                       Area_7        Balloon     16:00:00.00  37.086540   -116.024805   4186              1500              Weapons_Related                      2.2              186
226   Dead                                04/21/1962  LLNL          NNSS                       U9k           Shaft       18:40:00.16  37.118958   -116.032393   4261              -635              Weapons_Related                      Low              226
783   Deck                                11/18/1975  LANL          NNSS                       U3kd          Shaft       15:30:00.11  37.020263   -116.021499   3958              -1070             Weapons_Related                      Less_than_20     783
993   Delamar                             04/18/1987  LLNL          NNSS                       U20at         Shaft       13:40:00.00  37.247830   -116.510033   6240              -1785             Weapons_Related                      20_to_150        993
710   Delphinium                          09/26/1972  LLNL          NNSS                       U2dp          Shaft       14:30:00.16  37.121323   -116.086603   4276              -970              Weapons_Related                      15               710
472   Derringer                           09/12/1966  LANL/SNL/DoD  NNSS                       U5i           Shaft       15:30:00.05  36.875842   -115.951559   3395              -837              Weapons_Effects                      7.8              472
253   Des_Moines                          06/13/1962  LLNL          NNSS                       U12j.01       Tunnel      21:00:00.12  37.222177   -116.163010   6312              -660              Weapons_Related                      2.9              253
668   Dexter                              06/23/1971  LANL          NNSS                       U3hs          Shaft       14:00:00.04  37.013167   -116.017284   3968              -394              Safety_Experiment                    Less_than_20     668
94    Diablo                              07/15/1957  LLNL          NNSS                       Area_2        Tower       11:30:00.00  37.150200   -116.109485   4469              500               Weapons_Related                      17               94
841   Diablo_Hawk                         09/13/1978  LLNL/DoD      NNSS                       U12n.10a      Tunnel      15:15:00.16  37.208750   -116.211642   7346              -1273             Weapons_Effects                      Less_than_20     841
686   Diagonal_Line                       11/24/1971  LLNL/DoD      NNSS                       U11g          Shaft       20:15:00.17  36.879181   -115.935571   3405              -868              Weapons_Effects                      Less_than_20     686
912   Diamond_Ace                         09/23/1982  LLNL/DoD      NNSS                       U12n.15       Tunnel      16:00:00.09  37.211995   -116.207512   7466              -1390             Weapons_Effects                      Less_than_20     912
970   Diamond_Beech                       10/09/1985  LLNL/DoD      NNSS                       U12n.19       Tunnel      23:20:00.09  37.209621   -116.210960   7403              -1326             Weapons_Effects                      Less_than_20     970
647   Diamond_Dust                        05/12/1970  LANL/DoD      NNSS                       U16a.05       Tunnel      14:00:00.04  37.010400   -116.202764   6265              -830              VelaUniform                          Less_than_20     647
1050  Diamond_Fortune                     04/30/1992  LANL/DoD      NNSS                       U12p.05       Tunnel      16:30:00.00  37.234140   -116.158224   6307              -774              Weapons_Effects                      Less_than_20     1050
672   Diamond_Mine                        07/01/1971  LANL/DoD      NNSS                       U16a.06       Tunnel      14:00:00.04  37.011491   -116.204268   6310              -873              Vela                                 Uniform          Less_than_20  672
706   Diamond_Sculls                      07/20/1972  LLNL/DoD      NNSS                       U12t.02       Tunnel      17:16:00.16  37.214484   -116.184243   7020              -1391             Weapons_Effects                      Less_than_20     706
633   Diana_Mist                          02/11/1970  LANL/DoD      NNSS                       U12n.06       Tunnel      19:15:00.04  37.201239   -116.206094   7391              -1319             Weapons_Effects                      Less_than_20     633
559   Diana_Moon                          08/27/1968  LLNL/DoD      NNSS                       U11e          Shaft       16:30:00.04  36.877167   -115.931938   3385              -794              Weapons_Effects                      Less_than_20     559
693   Dianthus                            02/17/1972  LLNL          NNSS                       U10at         Shaft       19:02:00.16  37.165655   -116.057109   4285              -1000             Weapons_Related                      Less_than_20     693
729   Dido_Queen                          06/05/1973  LLNL/DoD      NNSS                       U12e.14       Tunnel      17:00:00.17  37.184978   -116.215970   7461              -1284             Weapons_Effects                      Less_than_20     729
622   Diesel_Train                        12/05/1969  LANL/DoD      NNSS                       U12e.11       Tunnel      17:00:00.04  37.179930   -116.211733   7540              -1375             Weapons_Effects                      Less_than_20     622
419   Diluted_Waters                      06/16/1965  LLNL/DoD      NNSS                       U5b           Shaft       16:30:00.15  36.818004   -115.956925   3095              -632              Weapons_Effects                      Less_than_20     419
770   Dining_Car                          04/05/1975  LLNL/DoD      NNSS                       U12e.18       Tunnel      19:45:00.19  37.187868   -116.214751   7430              -1257             Weapons_Effects                      Less_than_20     770
461   Discus_Thrower                      05/27/1966  LANL/DoD      NNSS                       U8a           Shaft       20:00:00.04  37.178340   -116.098631   4615              -1106             Weapons_Effects                      22               461
1027  Disko_Elm                           09/14/1989  LLNL/DoD      NNSS                       U12p.03       Tunnel      15:00:00.10  37.235839   -116.163771   6377              -857              Weapons_Effects                      Less_than_20     1027
1046  Distant_Zenith                      09/19/1991  LANL/DoD      NNSS                       U12p.04       Tunnel      16:30:00.07  37.235678   -116.167307   6392              -865              Weapons_Effects                      Less_than_20     1046
1054  Divider                             09/23/1992  LANL          NNSS                       U3ml          Shaft       15:04:00.00  37.020632   -115.988778   4051              -1115             Weapons_Related                      Less_than_20     1054
36    Dixie                               04/06/1953  LANL          NNSS                       Area_7        Airdrop     15:30:00.00  37.084604   -116.020654   4025              6022              Weapons_Related                      11               36
809   Dofino                              03/08/1977  LLNL          NNSS                       U10ba         Shaft       14:24:00.16  37.176147   -116.053825   4296              -600              Weapons_Related                      Less_than_20     809
809   Dofino-Lawton                       03/08/1977  LLNL          NNSS                       U10ba         Shaft       14:24:00.16  37.176147   -116.053825   4296              -926              Weapons_Related                      Less_than_20     809
12    Dog(Operation_Greenhouse)           04/07/1951  LANL          Enewetak_Atoll             UNKN          Tower       18:34:00.00  11.551866   162.347893    10                300               Weapons_Related                      81               12
19    Dog(Operation_Buster)               11/01/1951  LANL          NNSS                       Area_7        Airdrop     15:30:00.00  37.084550   -116.020850   4193              1417              Weapons_Related                      21               19
26    Dog(Operation_Tumbler-Snapper)      05/01/1952  LANL          NNSS                       Area_7        Airdrop     16:30:00.00  37.084120   -116.021140   4193              1040              Weapons_Related                      19               26
144   Dogwood                             07/05/1958  LLNL          Enewetak_Atoll             UNKN          Barge       18:30:00.00  11.677570   162.206157    0                 12                Weapons_Related                      397              144
950   Dolcetto                            08/30/1984  LANL          NNSS                       U7bi          Shaft       14:45:00.10  37.089748   -116.000235   4324              -1198             Weapons_Related                      Less_than_20     950
174   Dona_Ana                            10/16/1958  LANL          NNSS                       Area_7        Balloon     14:20:00.00  37.086540   -116.024805   4186              450               Weapons_Related                      .037             174
513   Door_Mist                           08/31/1967  LANL/DoD      NNSS                       U12g.07       Tunnel      16:30:00.04  37.177511   -116.209811   7625              -1463             Weapons_Effects                      Less_than_20     513
102   Doppler                             08/23/1957  LANL          NNSS                       Area_7        Balloon     12:00:00.00  37.086540   -116.024805   4230              1500              Weapons_Related                      11               102
207   Dormouse                            01/30/1962  LANL          NNSS                       U3aq          Shaft       18:00:00.13  37.046799   -116.040351   4026              -1191             Weapons_Related                      Low              207
222   Dormouse_Prime                      04/05/1962  LANL          NNSS                       U3az          Shaft       18:00:00.13  37.044458   -116.024402   4016              -856              Weapons_Related                      10.6             222
534   Dorsal_Fin                          02/29/1968  LANL/DoD      NNSS                       U12e.10       Tunnel      17:08:30.04  37.184571   -116.212312   7505              -1345             Weapons_Effects                      Less_than_20     534
465   Double_Play                         06/15/1966  LLNL/DoD      NNSS                       U16a.03       Tunnel      17:00:00.04  37.009611   -116.203797   6499              -1075             Weapons_Effects                      Less_than_20     465
319   Double_Tracks                       05/15/1963  LANL/DoD/UK   NTTR                       UNKN          Surface     09:55:00.00  37.706091   -116.988191   4972              1                 Joint_US-UK(Storage-Transportation)  Zero             319
439   Dovekie                             01/21/1966  LANL          NNSS                       U3cd          Shaft       18:28:00.04  37.031770   -116.016605   3991              -1093             Weapons_Related                      Less_than_20     439
843   Draughts                            09/27/1978  LANL          NNSS                       U7al          Shaft       17:00:00.07  37.073820   -116.020703   4139              -1449             Weapons_Related                      20_to_150        843
392   Drill_(Source-Lower)                12/05/1964  LLNL          NNSS                       U2ai          Shaft       21:15:00.16  37.134236   -116.070624   4286              -725              Weapons_Related                      Less_than_20     392
392   Drill_(Target-Upper)                12/05/1964  LLNL          NNSS                       U2ai          Shaft       21:15:00.16  37.134236   -116.070624   4286              -624              Weapons_Related                      3.4              392
365   Driver                              05/07/1964  LLNL          NNSS                       U9ar          Shaft       13:00:00.15  37.120213   -116.041167   4200              -486              Weapons_Related                      Less_than_20     365
372   Dub                                 06/30/1964  LLNL          NNSS                       U10a          Shaft       13:33:00.14  37.174380   -116.057265   4293              -848              Plowshare                            11.7             372
370   Duffer                              06/18/1964  LLNL          NNSS                       U10dS         Shaft       13:30:00.20  37.165947   -116.039283   4312              -1466             Weapons_Related                      Less_than_20     370
255   Dulce                               06/17/1962  LANL          Christmas_Island_area      UNKN          Airdrop     16:00:00.00  1.490000    -157.327000   0                 9090              Weapons_Related                      52               255
460   Dumont                              05/19/1966  LLNL          NNSS                       U2t           Shaft       13:56:28.14  37.111103   -116.058798   4195              -2201             Weapons_Related                      20_to_200        460
945   Duoro                               06/20/1984  LANL          NNSS                       U3lv          Shaft       15:15:00.09  37.000331   -116.043928   3961              -1250             Weapons_Related                      20_to_150        945
451   Duryea                              04/14/1966  LLNL          NNSS                       U20a-1        Shaft       14:13:43.10  37.242607   -116.431741   6520              -1784             Weapons_Related                      70               451
878   Dutchess                            10/24/1980  LANL/UK       NNSS                       U7bm          Shaft       19:15:00.12  37.074528   -116.000132   4238              -1400             Joint_US-UK                          Less_than_20     878
348   Eagle                               12/12/1963  LLNL          NNSS                       U9av          Shaft       16:02:00.15  37.130971   -116.044749   4203              -541              Weapons_Related                      5.3              348
9     Easy(Operation_Ranger)              02/01/1951  LANL          NNSS                       Area_5        Airdrop     13:47:00.00  36.805100   -115.950200   3140              1080              Weapons_Related                      1                9
13    Easy(Operation_Greenhouse)          04/20/1951  LANL          Enewetak_Atoll             UNKN          Tower       18:27:00.00  11.665400   162.233800    10                300               Weapons_Related                      47               13
20    Easy(Operation_Buster)              11/05/1951  LANL          NNSS                       Area_7        Airdrop     16:30:00.00  37.091900   -116.025300   4224              1314              Weapons_Related                      31               20
27    Easy(Operation_Tumbler-Snapper)     05/07/1952  LANL          NNSS                       Area_1        Tower       12:15:00.00  37.053040   -116.103504   4329              300               Weapons_Related                      12               27
820   Ebbtide                             09/15/1977  LANL          NNSS                       U3kt          Shaft       14:36:30.08  37.032743   -116.044006   4005              -1245             Weapons_Related                      Less_than_20     820
771   Edam                                04/24/1975  LLNL          NNSS                       U2dy          Shaft       14:10:00.17  37.115640   -116.088262   4263              -1350             Weapons_Related                      20_to_200        771
160   Eddy                                09/19/1958  LANL          NNSS                       Area_7        Balloon     14:00:00.00  37.086540   -116.024805   4186              500               Weapons_Related                      .083             160
242   Eel                                 05/19/1962  LLNL          NNSS                       U9m           Shaft       15:00:00.16  37.122589   -116.048079   4200              -714              Weapons_Related                      4.5              242
498   Effendi                             04/27/1967  LLNL          NNSS                       U2ap          Shaft       14:45:00.00  37.138735   -116.064073   4284              -725              Weapons_Related                      Less_than_20     498
954   Egmont                              12/09/1984  LLNL/UK       NNSS                       U20al         Shaft       19:40:00.09  37.270022   -116.498473   6124              -1792             Joint_US-UK                          20_to_150        954
139   Elder                               06/27/1958  LANL          Enewetak_Atoll             UNKN          Barge       18:30:00.00  11.677200   162.185255    0                 9                 Weapons_Related                      880              139
741   Elida                               12/19/1973  LANL          NNSS                       U3hy          Shaft       19:16:00.11  37.001093   -116.032277   3955              -1251             Weapons_Related                      Less_than_20     741
429   Elkhart                             09/17/1965  LLNL          NNSS                       U9bs          Shaft       15:08:23.10  37.110981   -116.035477   4245              -723              Weapons_Related                      Less_than_20     429
667   Embudo                              06/16/1971  LANL          NNSS                       U3hd          Shaft       14:50:00.04  37.033134   -116.014538   3996              -994              Weapons_Related                      Less_than_20     667
434   Emerson                             12/16/1965  LLNL          NNSS                       U2al          Shaft       15:39:18.15  37.140792   -116.064050   4289              -853              Weapons_Related                      Less_than_20     434
845   Emmenthal                           11/02/1978  LLNL          NNSS                       U19t          Shaft       15:25:00.17  37.287894   -116.298378   6991              -1891             Weapons_Related                      Less_than_20     845
239   Encino                              05/12/1962  LANL          Christmas_Island_area      UNKN          Airdrop     17:02:00.00  1.565000    -157.365000   0                 5510              Weapons_Related                      500              239
40    Encore                              05/08/1953  LANL/DoD      NNSS                       Area_5        Airdrop     15:30:00.00  36.797923   -115.929776   3077              2423              Weapons_Effects                      27               40
73    Erie                                05/30/1956  LANL          Enewetak_Atoll             UNKN          Tower       18:15:00.00  11.540100   162.357950    10                300               Weapons_Related                      14.9             73
217   Ermine                              03/06/1962  LANL          NNSS                       U3ab          Shaft       16:30:00.13  37.048350   -116.034526   4028              -240              Safety_Experiment                    Low              217
753   Escabosa                            07/10/1974  LANL          NNSS                       U7ac          Shaft       16:00:00.09  37.074984   -116.032691   4102              -2095             Weapons_Related                      20_to_200        753
789   Esrom                               02/04/1976  LLNL          NNSS                       U7ak          Shaft       14:40:00.16  37.106546   -116.038295   4216              -2149             Weapons_Related                      20_to_200        789
56    ESS                                 03/23/1955  LANL          NNSS                       U10ESS        Crater      20:30:00.00  37.168412   -116.044669   4288              -67               Weapons_Effects                      1                56
760   Estaca                              10/17/1974  LANL          NNSS                       U3ja          Shaft       17:13:00.12  37.006354   -116.015722   3959              -1053             Weapons_Related                      Less_than_20     760
793   Estuary                             03/09/1976  LANL          NNSS                       U19g          Shaft       14:00:00.09  37.309910   -116.365105   6734              -2811             Weapons_Related                      200_to_500       793
188   Evans                               10/29/1958  LLNL          NNSS                       U12b.04       Tunnel      00:00:00.15  37.194804   -116.205604   7472              -840              Weapons_Related                      .055             188
371   Fade                                06/25/1964  LLNL          NNSS                       U9be          Shaft       13:30:00.14  37.111087   -116.029646   4288              -673              Weapons_Related                      Less_than_20     371
925   Fahada                              05/26/1983  LANL          NNSS                       U7bh          Shaft       15:00:00.09  37.102858   -116.006568   4392              -1261             Weapons_Related                      Less_than_20     925
856   Fajy                                06/28/1979  LLNL          NNSS                       U2fc          Shaft       14:44:00.17  37.143116   -116.088389   4364              -1760             Weapons_Related                      20_to_150        856
750   Fallon                              05/23/1974  LLNL/UK       NNSS                       U2dv          Shaft       13:38:30.16  37.124448   -116.079753   4274              -1530             Joint_US-UK                          20_to_200        750
827   Farallones                          12/14/1977  LLNL          NNSS                       U2fa          Shaft       15:30:00.07  37.135821   -116.086900   4322              -2189             Weapons_Related                      20_to_150        827
848   Farm                                12/16/1978  LLNL          NNSS                       U20ab         Shaft       15:30:00.16  37.273338   -116.411164   6581              -2260             Weapons_Related                      20_to_150        848
528   Faultless                           01/19/1968  LLNL          Central_Nevada             UNKN          Shaft       18:15:00.08  38.634221   -116.216221   6030              -3200             Weapons_Related                      200_to_1000      528
496   Fawn                                04/07/1967  LANL          NNSS                       U3eo          Shaft       15:00:00.04  37.054329   -116.023095   4047              -889              Weapons_Related                      Less_than_20     496
204   Feather                             12/22/1961  LLNL          NNSS                       U12b.08       Tunnel      16:30:00.13  37.194884   -116.209161   7443              -812              Weapons_Related                      .150             204
452   Fenton                              04/23/1966  LLNL          NNSS                       U2m1          Shaft       14:55:26.14  37.160491   -116.083743   4423              -549              Weapons_Related                      1.4              452
305   Ferret                              02/08/1963  LANL          NNSS                       U3bf          Shaft       18:30:00.13  37.058292   -116.030132   4052              -1069             Weapons_Related                      Low              305
313   Ferret_Prime                        04/05/1963  LANL          NNSS                       U3by          Shaft       17:52:00.13  37.037310   -116.024781   4002              -792              Weapons_Related                      Low              313
154   Fig                                 08/18/1958  LLNL/DoD      Enewetak_Atoll             UNKN          Surface     04:00:00.00  11.545500   162.352700    10                2                 Weapons_Related                      .020             154
570   File                                10/31/1968  LANL          NNSS                       U3gb          Shaft       18:30:00.04  37.017048   -116.036598   3977              -751              Weapons_Related                      Less_than_20     570
444   Finfoot                             03/07/1966  LANL          NNSS                       U3du          Shaft       18:41:00.07  37.037340   -116.030263   4004              -642              Weapons_Related                      Less_than_20     444
122   Fir                                 05/11/1958  LLNL          Bikini_Atoll               UNKN          Barge       17:50:00.00  11.697275   165.280000    0                 10                Weapons_Related                      1360             122
200   Fisher                              12/03/1961  LANL          NNSS                       U3ah          Shaft       23:04:59.63  37.045810   -116.028544   4020              -1193             Weapons_Related                      13.4             200
110   Fizeau                              09/14/1957  LANL          NNSS                       Area_3        Tower       16:45:00.00  37.033430   -116.032243   4030              500               Weapons_Related                      11               110
493   Fizz                                03/10/1967  LANL          NNSS                       U3fr          Shaft       15:00:00.04  37.046079   -116.030642   4022              -386              Safety_Experiment                    Less_than_20     493
652   Flask-Green                         05/26/1970  LLNL          NNSS                       U2az_#1       Shaft       15:00:00.05  37.113320   -116.063205   4192              -1734             Plowshare                            105              652
652   Flask-Red                           05/26/1970  LLNL          NNSS                       U2az_#3       Shaft       15:00:00.05  37.116147   -116.067572   4220              -500              Plowshare                            .035             652
652   Flask-Yellow                        05/26/1970  LLNL          NNSS                       U2az_#2       Shaft       15:00:00.05  37.118084   -116.064436   4220              -1100             Plowshare                            .090             652
75    Flathead                            06/12/1956  LANL          Bikini_Atoll               UNKN          Barge       18:26:00.00  11.688500   165.390000    0                 15                Weapons_Related                      365              75
717   Flax-Backup                         12/21/1972  LLNL          NNSS                       U2dj          Shaft       20:15:24.35  37.139909   -116.084124   4341              -1460             Weapons_Effects                      Less_than_20     717
716   Flax-Source                         12/21/1972  LLNL          NNSS                       U2dj          Shaft       20:15:00.24  37.139909   -116.084124   4341              -2260             Weapons_Related                      Less_than_20     716
717   Flax-Test                           12/21/1972  LLNL          NNSS                       U2dj          Shaft       20:15:24.35  37.139909   -116.084124   4341              -1430             Weapons_Effects                      20_to_200        717
871   Flora                               05/22/1980  LANL          NNSS                       U3lg          Shaft       13:00:00.09  37.003016   -116.032261   3958              -1100             Weapons_Related                      Less_than_20     871
817   Flotost                             08/16/1977  LLNL          NNSS                       U2ao          Shaft       15:49:00.17  37.146672   -116.063983   4301              -903              Weapons_Related                      Less_than_20     817
1044  Floydada                            08/15/1991  LANL          NNSS                       U7cb          Shaft       16:00:00.00  37.087287   -116.002657   4288              -1650             Weapons_Related                      Less_than_20     1044
628   Fob-Blue                            01/23/1970  LLNL          NNSS                       U9ITS_Y-27    Shaft       16:30:00.21  37.140633   -116.033512   4264              -330              Weapons_Related                      Less_than_20     628
628   Fob-Green                           01/23/1970  LLNL          NNSS                       U9ITS_V-27    Shaft       16:30:00.21  37.140657   -116.037636   4242              -802              Weapons_Related                      Less_than_20     628
628   Fob-Red                             01/23/1970  LLNL          NNSS                       U9ITS_V-24    Shaft       16:30:00.21  37.137364   -116.037663   4232              -872              Weapons_Related                      Less_than_20     628
833   Fondutta                            04/11/1978  LLNL/UK       NNSS                       U19zS         Shaft       15:30:00.16  37.299575   -116.327584   6888              -2077             Joint_US-UK                          20_to_150        833
790   Fontina                             02/12/1976  LLNL          NNSS                       U20f          Shaft       14:45:00.16  37.271354   -116.489338   6117              -3997             Weapons_Related                      200_to_1000      790
350   Fore                                01/16/1964  LLNL          NNSS                       U9ao          Shaft       16:00:00.15  37.142233   -116.049975   4231              -1611             Weapons_Related                      20_to_200        350
813   Forefoot                            06/02/1977  LANL          NNSS                       U3kf          Shaft       17:15:00.10  37.054895   -116.025832   4047              -635              Weapons_Related                      Less_than_20     813
389   Forest                              10/31/1964  LLNL          NNSS                       U7a           Shaft       17:04:58.61  37.107161   -116.033112   4255              -1269             Weapons_Related                      Less_than_20     389
11    Fox(Operation_Ranger)               02/06/1951  LANL          NNSS                       Area_5        Airdrop     13:47:00.00  36.805100   -115.950200   3140              1435              Weapons_Related                      22               11
28    Fox(Operation_Tumbler-Snapper)      05/25/1952  LANL          NNSS                       Area_4        Tower       12:00:00.00  37.095488   -116.103616   4309              300               Weapons_Related                      11               28
88    Franklin                            06/02/1957  LANL          NNSS                       Area_3        Tower       11:55:00.00  37.095488   -116.103616   4026              300               Weapons_Related                      .140             88
104   Franklin_Prime                      08/30/1957  LANL          NNSS                       Area_7        Balloon     12:40:00.00  37.086540   -116.024805   4186              750               Weapons_Related                      4.7              104
853   Freezeout                           05/11/1979  LANL          NNSS                       U3kw          Shaft       16:00:00.10  36.998135   -116.018604   3951              -1100             Weapons_Related                      Less_than_20     853
232   Frigate_Bird                        05/06/1962  LLNL/DoD      Pacific                    UNKN          Rocket      23:30:00.00  4.833333    -149.416667   0                 11000             Weapons_Related                      200_to_1000      232
680   Frijoles-Deming                     09/22/1971  LANL          NNSS                       U3jw          Shaft       14:00:00.04  37.021557   -116.017069   3977              -492              Safety_Experiment                    Less_than_20     680
680   Frijoles-Espuela                    09/22/1971  LANL          NNSS                       U3ju          Shaft       14:00:00.04  37.022656   -116.017197   3979              -490              Safety_Experiment                    Less_than_20     680
680   Frijoles-Guaje                      09/22/1971  LANL          NNSS                       U3hf          Shaft       14:00:00.04  37.024354   -116.016154   3980              -843              Weapons_Related                      Less_than_20     680
680   Frijoles-Petaca                     09/22/1971  LANL          NNSS                       U3hz          Shaft       14:00:00.04  37.021901   -116.019772   3980              -741              Weapons_Related                      Less_than_20     680
914   Frisco                              09/23/1982  LLNL          NNSS                       U8m           Shaft       17:00:00.09  37.174702   -116.088666   4507              -1480             Weapons_Related                      20_to_150        914
552   Funnel                              06/25/1968  LANL          NNSS                       U3ga          Shaft       15:30:00.04  37.046302   -116.031075   4023              -389              Weapons_Related                      Less_than_20     552
